Model,RMSE,Precision@5,Recall@5,F1@5,Precision@10,Recall@10,F1@10,Precision@20,Recall@20,F1@20
Baseline-Model,0.8595620534306598,0.7603601348941682,0.4846987978945557,0.592013170853953,0.6510332918306442,0.6816264661056671,0.6659787232036598,0.49893010655137676,0.833779440943568,0.624288564739797
SVD-Model,0.7772926722924584,0.800563101815065,0.5007723334245677,0.6161360732880016,0.6785201684300095,0.6957909710813875,0.6870470497067637,0.514527088325648,0.8437277085449009,0.6392331721816897
